key,ticker,company,year,sector,digital,digital_msu,all_body_mentions_company,all_title_mentions_company,log_assets,roa,debt_to_assets,revenue_growth,cash_to_assets,capex_to_assets,total_assets,revenue,capex,debt
GAZP_2024,GAZP,Газпром,2024,Oil & Gas,0.0049057931357986,0.006234852630756,25,5,31.0552186218,0.0466805655092,0.21874389211,0.254390072583,0.0323148087823,0.0935565834908,30698000000000,10715000000000,2872000000000,6715000000000
GMKN_2020,GMKN,Норильский никель,2020,Metals & Mining,0.00456301389282677,0.00184292599943295,14,1,28.0556350429,0.16,4.65467625899e-9,0.272499430394,0.250817527796,0.0841726618705,1529000000000,1117000000000,128700000000,7117
GMKN_2021,GMKN,Норильский никель,2021,Metals & Mining,0.00359835345266176,0.00123028537070441,23,0,28.1854807767,0.275071797817,0.436358414704,86.9348334112,0.236703044227,0.116542217117,1741000000000,1317000000000,202900000000,759700000000
GMKN_2022,GMKN,Норильский никель,2022,Metals & Mining,0.0039508268982743,0.0051507681256428,5,1,28.2265554676,0.221499448732,0.445259095921,-0.100227790433,0.0729878721058,0.158654906284,1814000000000,1185000000000,287800000000,807700000000
GMKN_2023,GMKN,Норильский никель,2023,Metals & Mining,0.003669474309665,0.004841779012534,31,1,28.3800759284,0.099621749409,0.411867612293,-0.010970464135,0.0906855791962,0.119858156028,2115000000000,1172000000000,253500000000,871100000000
GMKN_2024,GMKN,Норильский никель,2024,Metals & Mining,0.0035642374642764,0.0046034684333593,25,3,28.4879863817,0.0519524617997,0.429117147708,-0.00511945392491,0.0786078098472,0.101782682513,2356000000000,1166000000000,239800000000,1011000000000
HYDR_2020,HYDR,РусГидро,2020,Energy,0.00736674396226713,0.00233464262615746,3,1,27.5712711115,0.071,2.18683651805e-10,0.0441898527005,0.12101910828,0.062101910828,942000000000,382800000000,58500000000,206
HYDR_2021,HYDR,РусГидро,2021,Energy,0.0068483663952969,0.0076947937025808,1,0,27.558987913,0.0842557764643,0.1836646964,0.0606,0.0717893605588,0.0830736163353,930500000000,406000000000,77300000000,170900000000
HYDR_2022,HYDR,РусГидро,2022,Energy,0.0072355327913111,0.008269180332927,1,0,27.6243992396,0.0449969800685,0.223273605798,0.0310344827586,0.0414737265955,0.112844775518,993400000000,418600000000,112100000000,221800000000
HYDR_2023,HYDR,РусГидро,2023,Energy,0.0070745818136083,0.0080650232675135,27,3,27.7828834652,0.0675257731959,0.306271477663,0.219063545151,0.0298109965636,0.165549828179,1164000000000,510300000000,192700000000,356500000000
HYDR_2024,HYDR,РусГидро,2024,Energy,0.0074238306393935,0.008525246745816,20,1,27.9429078771,0.0493411420205,0.415446559297,0.136194395454,0.0668374816984,0.145900439239,1366000000000,579800000000,199300000000,567500000000
IRAO_2020,IRAO,Интер РАО,2020,Energy,0.00663927593188043,0.00290778452621968,4,2,27.4859953439,0.087,3.52601156069e-10,-0.0445736434109,0.382658959538,0.0329479768786,865000000000,986000000000,28500000000,305
,,,,,,,,,,,,,,,,,,
IRAO_2022,IRAO,Интер РАО,2022,Energy,0.0073564829005561,0.0090642378596137,2,0,27.746133923,0.104723707665,0.0118538324421,0.0309698451508,0.414527629234,0.0489304812834,1122000000000,1265000000000,54900000000,13300000000
IRAO_2023,IRAO,Интер РАО,2023,Energy,0.0070891556396329,0.0086688574465387,28,3,27.8926158536,0.104618937644,0.0147806004619,0.0750988142292,0.42817551963,0.0515011547344,1299000000000,1360000000000,66900000000.00001,19200000000
IRAO_2024,IRAO,Интер РАО,2024,Energy,0.0071395846059865,0.0086381337813072,7,1,28.0101422487,0.0986995208761,0.00759753593429,0.138235294118,0.358179329227,0.07871321013,1461000000000,1548000000000,115000000000,11100000000
KAZT_2020,KAZT,Куйбышевазот,2020,Industrials,0.00343297600155456,0.00136023577420086,0,0,10.8444896017333,0.0127911613960977,0.526637292209093,-0.07623474521683118,0.044862807931103546,-0.09021201110125604,69902000000,53062000000,-6306000000,24510000000
KAZT_2021,KAZT,Куйбышевазот,2021,Industrials,0.000037305080952025664,0.0001492203238081,0,0,25.2406971086,0.231441048035,0.204148471616,0.6478,0.150655021834,0.0433406113537,91600000000,87500000000,3970000000,18700000000
,,,,,,,,,,,,,,,,,,
KAZT_2023,KAZT,Куйбышевазот,2023,Industrials,0.0033774695878291,0.0044833667095077,21,0,25.5132544599,0.1072319202,0.0980881130507,-0.175331294597,0.193682460515,0.0541978387365,120300000000,80900000000,6520000000,11800000000
